,sum_sq,df,F,PR(>F),Variabel
Intercept,471.7998257539585,1.0,3027.8155504293372,9.424671838881654e-135,Intercept
C(Tinggi_Tanaman),3.66506081093953,3.0,7.840279931499995,5.2653370978780267e-05,C(Tinggi_Tanaman)
C(Luas_Permukaan_Wadah),113.94783596312163,5.0,146.25398774387583,1.6848939791232872e-69,C(Luas_Permukaan_Wadah)
Residual,35.99484774880375,231.0,,,Residual
