Metode,Akurasi,RMSE,MAE,MBE
Blaney-Criddle,71.741,2.052,1.749,1.538
Hargreaves-Samani,97.019,1.719,1.577,0.162
Penman-Monteith,83.427,2.147,1.665,-0.902
