,Day,Tanggal,Max Suhu Udara,Min Suhu Udara,Mean Suhu Udara,Mean Kecepatan Angin,Mean Kelembapan Relatif,Radiasi Extrateresterial,ET Total
0,day 1,2024-10-22,32.36,24.94,28.65,3.06625,50.91375,15.76112096980497,3.457630881261678
1,day 2,2024-10-23,33.47,25.65,29.56,3.0775,47.54,15.769790114624417,3.79702922943176
2,day 3,2024-10-24,33.64,25.69,29.665,2.41,47.71875,15.777863389084224,3.3874179955330157
3,day 4,2024-10-25,33.05,25.68,29.365,2.8375,51.68875,15.785355887755756,3.422719540967627
4,day 5,2024-10-26,33.07,25.59,29.33,3.8,48.8675,15.79228319116646,4.111491581830455
5,day 6,2024-10-27,34.18,25.99,30.085,2.7487500000000002,45.59375,15.79866133781571,3.868557454053743
6,day 7,2024-10-28,35.19,26.08,30.634999999999998,2.78875,42.5475,15.804506795652468,4.278674271019661
7,day 8,2024-10-29,34.46,26.55,30.505000000000003,3.95125,44.36125,15.809836433061825,4.7261229771162165
8,day 9,2024-10-30,32.96,26.74,29.85,4.0225,50.6175,15.81466748940714,4.033492301659054
9,day 10,2024-10-31,30.95,25.83,28.39,2.4225,57.59625,15.81901754517555,2.566669979116453
10,day 11,2024-11-01,28.75,25.49,27.119999999999997,2.4699999999999998,66.5325,15.822904491774235,1.837174945628384
11,day 12,2024-11-02,30.12,25.39,27.755000000000003,1.90875,61.29,15.826346501025428,1.9399334428367718
12,day 13,2024-11-03,31.18,26.12,28.65,2.93375,56.69375,15.829361994407888,2.8616338845941653
13,day 14,2024-11-04,31.52,26.01,28.765,2.6025,53.6625,15.831969612092555,2.9232030365706887
14,day 15,2024-11-05,33.42,26.33,29.875,3.6862500000000002,47.1475,15.834188181820073,4.150132161328815
15,day 16,2024-11-06,34.4,26.8,30.6,3.4662499999999996,41.13375,15.836036687667393,4.55086284104387
16,day 17,2024-11-07,34.33,26.96,30.645,1.6625,45.49875,15.837534238750466,2.8726431060828803
17,day 18,2024-11-08,32.91,26.32,29.615,1.1225,51.915,15.838700037909653,1.854671656214733
18,day 19,2024-11-09,30.64,26.33,28.485,2.3499999999999996,61.77375,15.839553350423786,2.2253193184405715
19,day 20,2024-11-10,30.23,26.48,28.355,1.2937500000000002,64.14875,15.840113472798363,1.4189610761178382
